"UN Region","Year","Prevalence of anaemia in pregnant women (aged 15-49) (%)","Number of pregnant women (aged 15-49 years) with anaemia (thousands)"
"Eastern Europe"," 2001","26.0 [14.7-39.7]","447 [254-684]"
"Eastern Europe"," 2000","26.2 [14.8-40.1]","448 [254-687]"
"Northern Europe"," 2019","17.0 [9.6-29.4]","125 [71-216]"
"Northern Europe"," 2018","16.8 [9.7-28.6]","124 [72-211]"
"Northern Europe"," 2017","16.6 [9.8-27.8]","123 [73-206]"
"Northern Europe"," 2016","16.4 [9.9-26.9]","122 [74-201]"
"Northern Europe"," 2015","16.2 [9.9-26.2]","122 [74-197]"
"Northern Europe"," 2014","16.0 [9.9-25.8]","122 [75-195]"
"Northern Europe"," 2013","15.9 [9.9-25.3]","121 [76-192]"
"Northern Europe"," 2012","15.9 [9.9-25.0]","122 [76-191]"
"Northern Europe"," 2011","15.8 [9.9-24.8]","121 [76-190]"
"Northern Europe"," 2010","15.8 [9.9-24.6]","121 [76-188]"
"Northern Europe"," 2009","15.8 [10.0-24.6]","120 [76-187]"
"Northern Europe"," 2008","15.8 [9.9-24.5]","118 [75-184]"
"Northern Europe"," 2007","15.9 [10.0-24.7]","117 [74-182]"
"Northern Europe"," 2006","15.9 [10.1-24.8]","115 [73-179]"
"Northern Europe"," 2005","16.0 [10.2-24.9]","113 [72-176]"
"Northern Europe"," 2004","16.2 [10.3-25.3]","112 [71-175]"
"Northern Europe"," 2003","16.3 [10.5-25.6]","111 [72-175]"
"Northern Europe"," 2002","16.6 [10.6-25.9]","112 [72-175]"
"Northern Europe"," 2001","16.8 [10.8-26.4]","113 [73-178]"
"Northern Europe"," 2000","17.2 [10.9-26.9]","116 [74-182]"
"Southern Europe"," 2019","20.3 [12.4-32.2]","154 [94-243]"
"Southern Europe"," 2018","20.2 [12.5-31.8]","156 [97-245]"
"Southern Europe"," 2017","20.1 [12.7-31.3]","159 [100-247]"
"Southern Europe"," 2016","20.0 [12.7-31.0]","161 [102-249]"
"Southern Europe"," 2015","19.9 [12.7-30.5]","164 [105-252]"
"Southern Europe"," 2014","19.8 [12.6-30.5]","167 [107-258]"
"Southern Europe"," 2013","19.6 [12.7-30.1]","171 [110-261]"
"Southern Europe"," 2012","19.5 [12.6-29.9]","174 [112-266]"
"Southern Europe"," 2011","19.4 [12.5-29.7]","178 [115-271]"
"Southern Europe"," 2010","19.4 [12.5-29.5]","181 [116-276]"
"Southern Europe"," 2009","19.4 [12.5-29.6]","184 [119-281]"
"Southern Europe"," 2008","19.5 [12.6-29.8]","187 [121-286]"
"Southern Europe"," 2007","19.6 [12.7-30.0]","189 [123-288]"
"Southern Europe"," 2006","19.7 [12.9-30.1]","189 [124-289]"
"Southern Europe"," 2005","19.8 [13.1-30.2]","189 [124-288]"
"Southern Europe"," 2004","20.0 [13.2-30.3]","188 [124-285]"
"Southern Europe"," 2003","20.2 [13.4-30.3]","188 [124-282]"
"Southern Europe"," 2002","20.4 [13.6-30.5]","188 [125-280]"
"Southern Europe"," 2001","20.8 [13.9-30.9]","189 [126-281]"
